OQKsaW;1;3;-1,-1,-1,1,-1,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1;53,12,8,6,12,9,13,9,7,2,3,5,7,2,2,4,1,5,1,5,7,1,1,1,11,7,3,8,9,5,8,1,4,3,3,3,3,2,5,2,1,2,2,4,5,4,2,2,1,2,7,3,5,5,7,7,6,7,5,8,2,6,4,3,1,3,3,4,2,4,6,2,16,5,33,1,16,1,38,10,9,1,6,4,2,1,3,6,1,4,1,1,1,3,4,9;1,7,3,5,4,8,2,6,1,5,4,8,2,6,3,7,2,5,1,7,4,8,3,6,1,6,4,5,2,7,3,8,2,7,3,6,4,8,1,5,4,8,3,5,1,7,2,6,2,6,1,5,4,8,3,7,1,7,3,8,2,6,4,5,4,6,1,5,3,8,2,7,1,8,2,7,3,5,4,6,3,8,1,7,2,6,4,5,1,8,3,5,4,7,2,6
hlMLOz;2;5;1,-1,1,-1,1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,-1;14,18,20,44,14,14,18,23,18,20,18,16,14,19,13,22,16,24,12,17,13,16,20,29,15,17,17,15,19,12,17,16,19,18,15,20,14,17,13,18,18,21,24,22,20,17,23,19,20,14,19,13,14,8,10,18,14,18,12,15,13,11,17,10,13,13,10,13,11,14,11,12,15,18,15,17,20,13,11,21,18,18,20,18,16,18,17,19,17,12,16,14,14,16,20,17;4,7,3,8,2,6,1,5,4,6,1,5,3,8,2,7,1,5,3,6,4,8,2,7,2,6,4,7,3,8,1,5,4,8,2,6,1,7,3,5,2,8,1,6,3,5,4,7,1,5,4,6,2,7,3,8,2,7,1,8,4,6,3,5,1,6,2,8,4,7,3,5,3,7,1,6,4,8,2,5,3,6,2,8,4,5,1,7,3,6,1,8,4,7,2,5
DUmBJA;1;3;1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1;4,38,13,3,3,6,6,1,4,5,1,1,7,6,5,3,1,8,4,1,3,1,2,2,2,1,13,1,2,5,3,7,4,1,2,3,2,2,4,3,1,5,14,2,1,8,4,8,1,2,5,1,1,4,3,4,3,3,9,8,3,5,9,1,6,4,7,3,1,14,6,2,5,53,2,1,10,6,14,5,9,13,1,9,1,1,20,4,3,6,7,2,2,17,10,8;2,8,3,7,1,6,4,5,1,5,3,6,2,7,4,8,1,7,3,8,2,5,4,6,2,6,1,5,3,7,4,8,1,5,4,6,3,7,2,8,4,8,1,7,3,5,2,6,2,8,1,7,3,5,4,6,3,5,4,6,1,7,2,8,2,8,1,7,3,5,4,6,2,6,3,8,4,7,1,5,2,5,1,8,3,6,4,7,2,6,3,5,1,7,4,8
Tukgmm;1;3;1,-1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1;19,27,15,21,24,30,31,16,25,20,23,22,18,33,14,18,17,20,16,26,24,19,22,20,24,21,31,19,17,27,21,22,24,19,29,16,27,26,23,19,21,20,22,22,23,21,17,32,21,13,31,17,22,24,20,21,20,18,21,26,25,20,26,18,21,25,20,27,29,23,25,44,14,25,23,18,15,30,21,22,19,20,31,22,18,20,20,19,25,15,16,19,51,15,20,36;2,7,4,5,1,8,3,6,3,7,1,5,2,6,4,8,2,5,4,6,1,7,3,8,3,5,4,6,1,7,2,8,2,6,1,7,3,5,4,8,2,6,1,8,4,5,3,7,1,7,2,5,3,8,4,6,1,8,2,6,4,5,3,7,4,8,2,7,3,5,1,6,2,5,1,8,3,7,4,6,4,5,2,6,1,7,3,8,2,7,4,6,3,8,1,5
SensDE;2;3;-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1;24,18,13,24,20,19,18,23,21,26,23,37,24,19,17,29,36,26,28,27,17,28,23,28,18,37,17,20,21,19,16,33,25,23,23,23,38,19,44,18,18,26,21,26,17,28,17,23,39,16,19,25,28,21,20,18,21,22,17,17,15,21,17,29,17,15,17,21,29,25,34,17,16,14,13,16,22,13,13,13,11,13,14,13,7,19,14,15,24,20,15,26,20,16,16,14;1,8,2,7,3,6,4,5,2,7,3,6,4,5,1,8,3,5,4,7,2,8,1,6,2,5,3,6,4,7,1,8,4,6,3,7,1,5,2,8,4,7,2,6,3,8,1,5,2,6,1,7,3,5,4,8,4,5,3,6,1,7,2,8,3,8,4,6,2,5,1,7,4,8,3,7,1,6,2,5,3,8,1,5,4,7,2,6,1,6,4,7,2,8,3,5
HkfdFY;1;3;-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,1,1,1,-1,1,-1,1,-1,1,-1,1;14,15,21,16,16,13,17,17,19,16,17,21,19,19,17,19,13,12,21,14,16,20,17,17,15,65,14,13,17,17,16,13,16,14,12,11,12,13,15,14,11,13,13,17,15,13,14,11,16,12,14,12,12,13,11,12,12,10,14,12,11,14,12,13,14,18,13,21,16,14,13,13,15,27,12,12,11,14,12,11,12,14,14,18,24,18,13,12,15,14,17,18,15,16,17,16;3,7,2,6,1,8,4,5,3,8,4,5,1,7,2,6,2,5,1,6,4,7,3,8,2,7,3,6,1,8,4,5,1,5,3,6,2,7,4,8,1,8,2,7,3,5,4,6,1,5,4,7,3,8,2,6,3,7,4,6,1,5,2,8,4,8,1,5,3,7,2,6,2,7,3,6,1,8,4,5,2,8,3,6,1,5,4,7,4,6,3,7,2,5,1,8
XtSovH;1;2;-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,1,1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1;40,42,27,36,45,25,22,43,20,19,21,22,16,21,20,27,19,18,17,19,23,24,18,21,27,19,20,17,18,19,19,27,22,20,19,17,17,21,20,19,21,17,25,16,23,17,17,21,18,15,16,14,15,20,14,15,12,19,23,13,17,17,14,20,19,14,19,15,12,13,13,18,21,12,22,15,19,19,13,16,18,18,17,15,13,17,21,22,17,15,15,15,16,15,14,15;1,5,4,8,2,6,3,7,1,5,3,6,4,8,2,7,1,7,2,6,3,5,4,8,2,8,1,6,4,5,3,7,3,8,4,7,1,5,2,6,1,7,4,8,2,5,3,6,4,7,2,8,3,6,1,5,4,7,1,8,2,6,3,5,4,7,3,5,2,6,1,8,2,5,4,6,3,8,1,7,2,5,4,7,3,6,1,8,4,6,2,8,1,5,3,7
G22Q5H;1;5;-1,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1;21,29,88,20,33,29,14,17,21,17,22,20,25,15,15,18,18,16,19,20,21,16,19,18,18,17,20,24,14,13,15,28,21,17,18,21,15,18,20,17,29,19,25,18,21,24,17,27,29,30,18,30,15,25,13,16,17,17,13,17,17,18,15,18,20,21,23,14,14,17,17,17,22,16,16,16,14,16,12,16,38,15,22,18,16,15,13,18,16,18,17,19,17,19,13,22;3,5,2,6,1,8,4,7,1,6,4,5,2,7,3,8,4,6,2,8,1,7,3,5,3,8,4,7,2,5,1,6,2,6,1,5,3,7,4,8,4,6,2,8,3,7,1,5,4,7,3,5,1,8,2,6,4,6,2,8,3,5,1,7,3,8,4,6,1,7,2,5,1,8,4,6,2,7,3,5,3,8,4,6,1,5,2,7,4,6,1,5,2,7,3,8
3BBJ5V;1;2;-1,1,1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,1;18,25,26,17,15,15,18,22,17,16,17,16,19,18,16,24,39,14,27,21,26,17,16,21,13,25,16,16,13,14,17,13,26,18,16,16,17,21,16,20,18,19,26,19,16,21,15,18,16,38,19,22,14,16,17,18,28,15,15,23,16,17,15,20,11,14,15,15,25,26,30,15,22,17,13,14,14,11,16,12,14,12,15,16,14,16,14,17,17,14,19,16,15,20,14,21;2,8,4,6,1,7,3,5,2,7,1,8,3,5,4,6,1,5,4,7,2,6,3,8,2,5,4,8,1,6,3,7,4,5,1,6,2,7,3,8,4,5,1,7,2,6,3,8,3,7,4,8,2,5,1,6,1,5,3,7,4,6,2,8,3,6,4,8,1,7,2,5,1,6,2,7,3,8,4,5,3,8,1,5,2,7,4,6,2,6,1,7,4,5,3,8
14hfjA;1;2;-1,1,-1,1,-1,1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,1,1,1,-1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1;23,25,87,24,27,26,19,19,25,22,18,17,18,11,24,19,30,21,19,18,20,19,16,24,21,18,17,16,16,22,20,16,19,25,23,24,26,21,18,20,19,15,16,20,20,24,15,16,19,19,13,17,19,14,14,12,16,19,12,19,12,18,12,10,14,11,19,16,13,12,12,12,21,23,19,19,12,14,16,15,18,14,21,17,14,20,14,25,20,24,16,21,16,13,32,15;3,8,1,7,2,5,4,6,1,7,2,6,4,8,3,5,2,6,1,5,3,7,4,8,4,6,1,8,3,7,2,5,3,7,4,8,1,5,2,6,3,6,1,8,2,5,4,7,1,7,3,6,2,5,4,8,1,8,4,6,3,5,2,7,2,8,3,5,1,7,4,6,2,7,4,5,1,8,3,6,4,7,2,5,1,8,3,6,4,8,3,6,2,5,1,7
